Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Year,Month,Avg Price(CP+HP+LP),VWAP,Profit/Loss Percentage,Day_Perc_Change,trend
2019-07-29,1912.45,"1,930.00",1932.23,1890.54,4490000.0,2019,7,1911.74,1911.74,-0.015748436736059242,0.007331988433156189,Slight or no change
2019-07-26,1943.05,"1,942.00",1950.89,1924.51,4930000.0,2019,7,1939.4833333333333,1939.4833333333336,-0.015589060805949875,0.016000418311589826,Slight or no change
2019-07-25,1973.82,"2,001.00",2001.2,1972.72,4139999.9999999995,2019,7,1982.58,1982.58,-0.013489536737621268,0.015835928051259662,Slight or no change
2019-07-24,2000.81,"1,969.30",2001.3,1965.87,2630000.0,2019,7,1989.3266666666666,1989.3266666666666,0.0031687298507387532,0.01367399256264501,Slight or no change
2019-07-23,1994.49,"1,995.99",1997.79,1973.13,2700000.0,2019,7,1988.47,1988.47,0.00446205990038421,-0.003158720718109187,Slight or no change
2019-07-22,1985.63,"1,971.14",1989.0,1958.26,2910000.0,2019,7,1977.63,1977.63,0.01074562743061925,-0.004442238366700213,Slight or no change
2019-07-19,1964.52,"1,991.21",1996.0,1962.23,3190000.0,2019,7,1974.25,1974.25,-0.00676475049294712,-0.010631386512089391,Slight or no change
2019-07-18,1977.9,"1,980.01",1987.5,1951.55,3500000.0,2019,7,1972.3166666666666,1972.3166666666666,-0.007093266667670608,0.006810824018080863,Slight or no change
2019-07-17,1992.03,"2,007.05",2012.0,1992.03,2560000.0,2019,7,1998.6866666666665,1998.6866666666665,-0.00889098960147277,0.007143940543000049,Slight or no change
2019-07-16,2009.9,"2,010.58",2026.32,2001.22,2620000.0,2019,7,2012.4800000000002,2012.4800000000005,-0.005487409635871488,0.008970748432503672,Slight or no change
2019-07-15,2020.99,"2,021.40",2022.9,2001.55,2980000.0,2019,7,2015.1466666666668,2015.1466666666668,0.004967677772252615,0.005517687447136543,Slight or no change
2019-07-12,2011.0,"2,008.27",2017.0,2003.87,2510000.0,2019,7,2010.6233333333332,2010.623333333333,0.0049623451453472715,-0.004943121935289119,Slight or no change
2019-07-11,2001.07,"2,025.62",2035.8,1995.3,4320000.0,2019,7,2010.7233333333334,2010.7233333333334,-0.00809949390555224,-0.004937841869716575,Slight or no change
2019-07-10,2017.41,"1,996.51",2024.94,1995.4,4930000.0,2019,7,2012.5833333333333,2012.583333333333,0.014640647789569044,0.008165631387207828,Slight or no change
2019-07-09,1988.3,"1,947.80",1990.01,1943.47,4350000.0,2019,7,1973.9266666666665,1973.9266666666665,0.018429355843304386,-0.014429392141409147,Slight or no change
2019-07-08,1952.32,"1,934.12",1956.0,1928.25,2880000.0,2019,7,1945.5233333333333,1945.5233333333333,0.004843250588035398,-0.018095860785595774,Slight or no change
2019-07-05,1942.91,"1,928.60",1945.9,1925.3,2630000.0,2019,7,1938.0366666666669,1938.0366666666669,0.002016503352243467,-0.0048199065726929335,Slight or no change
