DHFL,IGL,PNB,TATAPOWER,VOLTAS,mov_avg_14,mov_std_14,Upper,Lower,Daily_Average_DHFL
582.95,1613.2,131.0,81.75,543.85,559.3071428571428,24.147335074678747,607.6018130065003,511.0124727077853,587.1166666666667
596.65,1593.7,138.2,82.15,537.95,562.6607142857142,25.906579046877425,614.4738723794691,510.84755619195937,593.4833333333333
577.8,1571.1,202.05,82.25,534.3,564.3714285714285,26.070257989678062,616.5119445507846,512.2309125920724,583.0
603.65,1591.15,213.6,82.15,534.15,567.6249999999999,27.99839796241137,623.6217959248227,511.62820407517717,597.2166666666666
611.55,1585.75,196.65,85.1,542.4,572.267857142857,29.57948618125876,631.4268295053745,513.1088847803395,604.5833333333334
647.9,1613.9,203.95,85.95,559.8,579.6392857142856,34.61191534812778,648.8631164105411,510.41545501803006,637.1666666666666
642.75,1585.15,197.15,84.9,567.6,586.1535714285712,37.3894805459308,660.9325325204328,511.3746103367096,644.4333333333333
642.25,1582.8,198.9,85.2,561.8,594.4464285714284,35.90289502086365,666.2522186131557,522.6406385297012,645.9499999999999
649.75,1571.4,197.45,84.8,545.65,602.8571428571428,33.884191101359406,670.6255250598616,535.0887606544239,651.75
665.65,1572.7,207.8,84.5,548.95,611.9892857142856,32.187869063285355,676.3650238408563,547.613547587715,664.1166666666667
642.15,1558.6,201.2,85.45,552.85,617.9821428571428,29.072486379492073,676.127115616127,559.8371700981586,650.7166666666667
632.85,1549.25,190.8,83.05,547.85,620.9107142857141,28.2921787138012,677.4950717133165,564.3263568581117,636.1999999999999
624.0,1566.85,189.05,83.3,556.65,622.4464285714284,27.7951120791866,678.0366527298016,566.8562044130553,627.1833333333333
633.0,309.95,192.3,83.75,563.75,625.2071428571427,26.68715376026854,678.5814503776797,571.8328353366056,637.6833333333333
638.4,321.65,190.1,82.95,571.7,629.1678571428569,23.9027163498448,676.9732898425465,581.3624244431672,636.3666666666667
633.2,314.4,187.65,82.2,576.6,631.7785714285712,21.9979781788255,675.7745277862223,587.7826150709202,636.4333333333334
621.85,314.15,184.05,81.8,600.0,634.925,16.02194108570759,666.9688821714151,602.8811178285848,626.4833333333333
615.45,303.75,180.7,82.05,583.85,635.7678571428571,14.486965058059782,664.7417872589767,606.7939270267375,619.0000000000001
623.5,299.6,189.6,84.8,614.15,636.6214285714286,13.249480603547243,663.1203897785231,610.1224673643342,624.1333333333333
635.5,301.8,190.8,88.95,611.5,635.7357142857144,12.845837825949214,661.4273899376128,610.044038633816,640.7833333333333
638.55,304.85,187.25,91.7,630.45,635.4357142857143,12.717831645303372,660.871377576321,610.0000509951076,638.5666666666666
621.35,310.05,186.3,92.9,629.05,633.9428571428572,13.077974101268317,660.0988053453938,607.7869089403206,628.0666666666667
620.4,306.95,189.2,93.05,622.85,631.8464285714286,12.69599367889508,657.2384159292188,606.4544412136385,623.5500000000001
618.65,305.1,186.5,93.15,624.8,628.4892857142858,8.634126800344895,645.7575393149756,611.2210321135959,621.4333333333333
618.0,312.25,186.1,93.65,623.55,626.7642857142857,8.090246467946843,642.9447786501794,610.5837927783921,621.8666666666667
615.95,312.25,185.85,95.25,649.1,625.5571428571429,8.368389633315587,642.2939221237741,608.8203635905118,617.0
